OCC_CODE,OCC_TITLE,TOT_EMP,A_PCT25,A_MEDIAN,A_PCT75,AIOE
39-9011,Childcare Workers,438520,22640.0,27490.0,30100.0,-0.3834794
39-9031,Exercise Trainers and Group Fitness Instructors,221600,29580.0,40700.0,57760.0,-2.111948
39-9032,Recreation Workers,264020,24330.0,29680.0,36580.0,-0.2441154
39-9041,Residential Advisors,92500,28820.0,31220.0,38750.0,0.4746119
41-1011,First-Line Supervisors of Retail Sales Workers,1143260,33520.0,39230.0,52070.0,0.0191826
41-1012,First-Line Supervisors of Non-Retail Sales Workers,243920,61490.0,79680.0,107860.0,1.316195
41-2011,Cashiers,3318020,22670.0,27260.0,29540.0,-0.2480887
41-2012,Gambling Change Persons and Booth Cashiers,17150,22860.0,28600.0,31080.0,-0.0500926
41-2021,Counter and Rental Clerks,371620,28660.0,31330.0,39040.0,0.0784367
41-2022,Parts Salespersons,265130,28530.0,34260.0,45340.0,-0.1184909
41-2031,Retail Salespersons,3693490,23500.0,29120.0,35110.0,0.0873069
41-3011,Advertising Sales Agents,96660,37700.0,52340.0,79310.0,1.162588
41-3021,Insurance Sales Agents,422600,38210.0,49840.0,78840.0,1.341258
41-3031,"Securities, Commodities, and Financial Services Sales Agents",426870,48100.0,62910.0,116240.0,1.256298
41-3041,Travel Agents,37190,31200.0,43810.0,54840.0,1.133598
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",266160,61900.0,94840.0,130860.0,0.8911985
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1242490,45800.0,61600.0,85610.0,0.8224681
41-9011,Demonstrators and Product Promoters,40680,29040.0,32350.0,40130.0,0.1235652
41-9021,Real Estate Brokers,48460,42920.0,62010.0,101000.0,1.149681
41-9022,Real Estate Sales Agents,175920,35880.0,48340.0,75940.0,0.8649445
41-9031,Sales Engineers,59550,79900.0,103710.0,155110.0,1.145416
41-9041,Telemarketers,115130,23470.0,28910.0,34480.0,1.118129
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",7860,23530.0,29390.0,36770.0,1.107101
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1443630,47490.0,60590.0,76920.0,1.038688
43-2011,"Switchboard Operators, Including Answering Service",48190,28720.0,30150.0,37410.0,0.9832644
43-2021,Telephone Operators,3870,29300.0,37630.0,47830.0,1.019712
43-3011,Bill and Account Collectors,212900,30420.0,37700.0,46970.0,1.271991
43-3021,Billing and Posting Clerks,429080,36650.0,38330.0,47700.0,1.333455
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1509370,36750.0,45560.0,49760.0,1.039749
43-3041,Gambling Cage Workers,11140,26000.0,29360.0,35620.0,0.4026518
43-3051,Payroll and Timekeeping Clerks,149290,37880.0,47610.0,60050.0,1.257632
43-3061,Procurement Clerks,61930,36890.0,45150.0,50450.0,1.487838
43-3071,Tellers,364210,29410.0,36310.0,37500.0,0.4727723
43-4011,Brokerage Clerks,39980,47230.0,54000.0,62570.0,1.144877
43-4021,Correspondence Clerks,7060,36750.0,37920.0,46960.0,1.149758
43-4031,"Court, Municipal, and License Clerks",150170,36680.0,44610.0,48230.0,1.166267
43-4041,"Credit Authorizers, Checkers, and Clerks",16820,36890.0,44710.0,48620.0,1.440296
43-4051,Customer Service Representatives,2787070,29700.0,36920.0,46460.0,0.9562519
43-4061,"Eligibility Interviewers, Government Programs",151340,37250.0,47420.0,59760.0,1.226286
43-4071,File Clerks,85460,29120.0,36360.0,45760.0,0.2839743
43-4081,"Hotel, Motel, and Resort Desk Clerks",220380,22910.0,28080.0,29700.0,0.6063127
43-4111,"Interviewers, Except Eligibility and Loan",169840,30020.0,37220.0,46210.0,1.297031
